date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,main
1/1/2000,pork,sandwichbags,lunchmeat,all-purpose,flour,soda,butter,vegetables,beef,aluminumfoil,all-purpose,dinnerrolls,shampoo,all-purpose,mixes,soap,laundrydetergent,icecream,dinnerrolls,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,yogurt
1/1/2000,shampoo,handsoap,waffles,vegetables,cheeses,mixes,milk,sandwichbags,laundrydetergent,dishwashingliquid/detergent,waffles,individualmeals,handsoap,vegetables,individualmeals,yogurt,cereals,shampoo,vegetables,aluminumfoil,tortillas,mixes,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,toiletpaper
2/1/2000,pork,soap,icecream,toiletpaper,dinnerrolls,handsoap,spaghettisauce,milk,ketchup,sandwichloaves,poultry,toiletpaper,icecream,ketchup,vegetables,laundrydetergent,spaghettisauce,bagels,soap,icecream,shampoo,lunchmeat,cereals,spaghettisauce,pork,vegetables,cheeses,eggs,vegetables,vegetables,,nan,nan,nan,soda
2/1/2000,juice,lunchmeat,soda,toiletpaper,all-purpose,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cereals
2/1/2000,pasta,tortillas,mixes,handsoap,toiletpaper,vegetables,vegetables,papertowels,vegetables,flour,vegetables,pork,poultry,eggs,vegetables,pork,spaghettisauce,vegetables,milk,waffles,individualmeals,vegetables,dinnerrolls,all-purpose,soda,yogurt,,nan,nan,nan,nan,nan,nan,nan,sandwichloaves
2/1/2000,toiletpaper,eggs,toiletpaper,vegetables,bagels,dishwashingliquid/detergent,cereals,papertowels,laundrydetergent,butter,cereals,bagels,papertowels,shampoo,toiletpaper,soap,soap,pasta,coffee/tea,poultry,bagels,aluminumfoil,butter,spaghettisauce,ketchup,all-purpose,milk,,nan,nan,nan,nan,nan,nan,laundrydetergent
3/1/2000,papertowels,tortillas,vegetables,milk,icecream,juice,dishwashingliquid/detergent,soap,sandwichbags,pasta,ketchup,all-purpose,yogurt,mixes,mixes,toiletpaper,vegetables,beef,sandwichbags,eggs,spaghettisauce,fruits,toiletpaper,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,individualmeals
4/1/2000,juice,papertowels,waffles,soda,cheeses,poultry,toiletpaper,vegetables,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,icecream
4/1/2000,poultry,coffee/tea,coffee/tea,dishwashingliquid/detergent,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,juice
5/1/2000,coffee/tea,toiletpaper,pork,flour,milk,soda,dishwashingliquid/detergent,eggs,tortillas,tortillas,vegetables,fruits,sugar,soap,dishwashingliquid/detergent,juice,sandwichloaves,poultry,eggs,flour,bagels,soda,bagels,soda,beef,coffee/tea,dishwashingliquid/detergent,cheeses,beef,soap,lunchmeat,pork,waffles,,ketchup
